model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP_Morph,24,1,True,0.3,inf,True,open,0.4571,0.5697,0.6072,0.2108,0.6402,1.0,0.8199,0.9947,0.6165,0.8165,59954719
Inf-Net_DP_Morph,24,2,True,0.3,inf,True,open,0.4491,0.5517,0.6007,0.2093,0.6354,1.0,0.8245,0.9977,0.616,0.8114,59954720
Inf-Net_DP_Morph,24,3,True,0.3,inf,True,open,0.4833,0.586,0.6263,0.1906,0.6517,1.0,0.8424,0.9921,0.6442,0.817,59954721
Inf-Net_DP_Morph,24,1,True,0.5,355.21,True,both,0.4453,0.5695,0.5942,0.2296,0.6538,1.0,0.7979,0.9983,0.5951,0.8277,59954740
Inf-Net_DP_Morph,24,2,True,0.5,355.21,True,both,0.4496,0.5618,0.5925,0.2361,0.6711,1.0,0.7883,0.9992,0.595,0.8103,59954741
Inf-Net_DP_Morph,24,3,True,0.5,355.21,True,both,0.4228,0.5322,0.5825,0.2409,0.6424,1.0,0.7839,0.9969,0.5813,0.8011,59954742
Inf-Net_DP_Morph,24,1,True,0.5,355.21,True,close,0.4381,0.5595,0.5838,0.2434,0.6568,1.0,0.7797,0.9897,0.582,0.8022,59954737
Inf-Net_DP_Morph,24,2,True,0.5,355.21,True,close,0.4326,0.5335,0.58,0.2448,0.6526,1.0,0.7851,0.9988,0.584,0.7908,59954738
Inf-Net_DP_Morph,24,3,True,0.5,355.21,True,close,0.4274,0.5436,0.5781,0.2544,0.6692,1.0,0.7665,0.996,0.5705,0.7936,59954739
Inf-Net_DP_Morph,24,1,True,0.5,355.21,True,dilation,0.403,0.5239,0.5783,0.2424,0.6009,1.0,0.7886,0.998,0.5627,0.799,59954743
Inf-Net_DP_Morph,24,2,True,0.5,355.21,True,dilation,0.4233,0.5301,0.583,0.2334,0.614,1.0,0.7953,0.9922,0.5872,0.7944,59954744
Inf-Net_DP_Morph,24,3,True,0.5,355.21,True,dilation,0.4158,0.518,0.5819,0.2364,0.6179,1.0,0.7925,0.9957,0.5825,0.8003,59954745
Inf-Net_DP_Morph,24,1,True,0.5,355.21,True,erosion,0.451,0.5619,0.5842,0.2501,0.6918,1.0,0.7679,0.992,0.5868,0.812,59954746
Inf-Net_DP_Morph,24,2,True,0.5,355.21,True,erosion,0.3917,0.502,0.553,0.2808,0.6524,1.0,0.7354,0.9973,0.534,0.7706,59954747
Inf-Net_DP_Morph,24,3,True,0.5,355.21,True,erosion,0.442,0.5502,0.5837,0.2413,0.6717,1.0,0.7823,0.9958,0.5873,0.803,59954748
Inf-Net_DP_Morph,24,1,True,0.5,355.21,True,open,0.4227,0.539,0.5801,0.2452,0.6387,1.0,0.7818,0.998,0.5735,0.8005,59954734
Inf-Net_DP_Morph,24,2,True,0.5,355.21,True,open,0.4225,0.5226,0.5674,0.2572,0.6629,1.0,0.7674,0.9985,0.5686,0.7787,59954735
Inf-Net_DP_Morph,24,3,True,0.5,355.21,True,open,0.4257,0.5402,0.5749,0.2546,0.6479,1.0,0.7639,0.9723,0.5724,0.8025,59954736
Inf-Net_DP_Morph,24,1,True,0.7,171.89,True,both,0.394,0.5132,0.5537,0.2909,0.6602,1.0,0.7156,0.9924,0.5287,0.7858,59954755
Inf-Net_DP_Morph,24,2,True,0.7,171.89,True,both,0.4057,0.5269,0.5608,0.2787,0.6781,1.0,0.7357,0.9986,0.5363,0.7883,59954756
Inf-Net_DP_Morph,24,3,True,0.7,171.89,True,both,0.3993,0.5248,0.5567,0.2887,0.6709,1.0,0.7188,0.9838,0.5323,0.7883,59954757
Inf-Net_DP_Morph,24,1,True,0.7,171.89,True,close,0.3952,0.5182,0.5445,0.2943,0.6748,1.0,0.7188,0.9989,0.5265,0.7801,59954752
Inf-Net_DP_Morph,24,2,True,0.7,171.89,True,close,0.4152,0.535,0.5654,0.2638,0.6572,1.0,0.7601,0.9991,0.5578,0.7912,59954753
Inf-Net_DP_Morph,24,3,True,0.7,171.89,True,close,0.3985,0.5067,0.5594,0.2756,0.6502,1.0,0.7424,0.9911,0.5427,0.7736,59954754
Inf-Net_DP_Morph,24,1,True,0.7,171.89,True,dilation,0.3485,0.4633,0.5281,0.3125,0.6156,1.0,0.704,0.9988,0.4927,0.747,59954758
Inf-Net_DP_Morph,24,2,True,0.7,171.89,True,dilation,0.3549,0.4727,0.5324,0.3056,0.6278,1.0,0.7044,0.9947,0.5001,0.7569,59954759
Inf-Net_DP_Morph,24,3,True,0.7,171.89,True,dilation,0.3955,0.5128,0.5577,0.2783,0.6431,1.0,0.741,0.9974,0.536,0.7875,59954760
Inf-Net_DP_Morph,24,1,True,0.7,171.89,True,erosion,0.4206,0.5325,0.5629,0.2727,0.6707,1.0,0.7446,0.9919,0.5593,0.7959,59954761
Inf-Net_DP_Morph,24,2,True,0.7,171.89,True,erosion,0.4193,0.5379,0.5517,0.295,0.702,1.0,0.7149,0.9975,0.5417,0.7944,59954762
Inf-Net_DP_Morph,24,3,True,0.7,171.89,True,erosion,0.4004,0.4973,0.5445,0.298,0.6804,1.0,0.7166,0.999,0.5341,0.7605,59954763
Inf-Net_DP_Morph,24,1,True,0.7,171.89,True,open,0.4512,0.5599,0.5856,0.2472,0.6857,1.0,0.7738,0.994,0.5908,0.806,59954749
Inf-Net_DP_Morph,24,2,True,0.7,171.89,True,open,0.439,0.5491,0.5775,0.2505,0.667,1.0,0.7715,0.9943,0.5831,0.8023,59954750
Inf-Net_DP_Morph,24,3,True,0.7,171.89,True,open,0.3835,0.5045,0.5366,0.3109,0.6733,1.0,0.6929,0.9919,0.509,0.7891,59954751
Inf-Net_DP_Morph,48,1,True,0.3,inf,True,both,0.4982,0.6047,0.6409,0.1784,0.6514,1.0,0.86,0.9989,0.6591,0.8284,59954770
Inf-Net_DP_Morph,48,2,True,0.3,inf,True,both,0.4688,0.5642,0.6133,0.2012,0.647,1.0,0.835,0.9984,0.6306,0.8095,59954771
Inf-Net_DP_Morph,48,3,True,0.3,inf,True,both,0.4732,0.5748,0.621,0.1913,0.6422,1.0,0.8468,0.9983,0.6397,0.8196,59954772
Inf-Net_DP_Morph,48,1,True,0.3,inf,True,close,0.4853,0.5922,0.628,0.1892,0.6446,1.0,0.8473,0.9985,0.6477,0.8288,59954767
Inf-Net_DP_Morph,48,2,True,0.3,inf,True,close,0.4847,0.59,0.6296,0.1917,0.645,1.0,0.84,0.9914,0.645,0.8285,59954768
Inf-Net_DP_Morph,48,3,True,0.3,inf,True,close,0.4928,0.6071,0.6339,0.1869,0.6466,1.0,0.8455,0.9908,0.6513,0.8463,59954769
Inf-Net_DP_Morph,48,1,True,0.3,inf,True,dilation,0.476,0.5886,0.6329,0.1811,0.6128,1.0,0.8595,0.9949,0.6437,0.825,59954773
Inf-Net_DP_Morph,48,2,True,0.3,inf,True,dilation,0.4612,0.5782,0.6202,0.1957,0.6106,1.0,0.8441,0.9922,0.6265,0.8082,59954774
Inf-Net_DP_Morph,48,3,True,0.3,inf,True,dilation,0.4723,0.5839,0.6265,0.1916,0.6292,1.0,0.8459,0.9979,0.6337,0.8185,59954775
Inf-Net_DP_Morph,48,1,True,0.3,inf,True,erosion,0.4809,0.5915,0.617,0.2097,0.6824,1.0,0.815,0.997,0.6282,0.8303,59954776
Inf-Net_DP_Morph,48,2,True,0.3,inf,True,erosion,0.4668,0.5693,0.6102,0.2056,0.6562,1.0,0.8253,0.9959,0.6274,0.8284,59954777
Inf-Net_DP_Morph,48,3,True,0.3,inf,True,erosion,0.4832,0.5755,0.6212,0.1947,0.6704,1.0,0.834,0.9926,0.6434,0.8247,59954778
Inf-Net_DP_Morph,48,1,True,0.3,inf,True,open,0.4869,0.5857,0.6249,0.1899,0.6488,1.0,0.8507,0.9997,0.6462,0.8157,59954764
Inf-Net_DP_Morph,48,2,True,0.3,inf,True,open,0.4931,0.6046,0.6285,0.1937,0.6652,1.0,0.8394,0.9992,0.6454,0.8402,59954765
Inf-Net_DP_Morph,48,3,True,0.3,inf,True,open,0.4678,0.5809,0.6207,0.1945,0.6273,1.0,0.8401,0.9951,0.6326,0.8291,59954766
